user_id,city,device_type,signup_date
USR00001,Kolkata,iOS,2026-01-05
USR00002,Bengaluru,Android,2025-11-30
USR00003,Kolkata,Android,2025-08-31
USR00004,Delhi NCR,Android,2025-09-17
USR00005,Mumbai,iOS,2026-04-24
USR00006,Kolkata,Android,2026-02-07
USR00007,Ahmedabad,Web,2025-09-13
USR00008,Bengaluru,Android,2026-06-23
USR00009,Kolkata,Android,2026-05-18
USR00010,Mumbai,Android,2025-10-06
USR00011,Pune,Android,2026-01-09
USR00012,Kolkata,Android,2026-01-15
USR00013,Chennai,Android,2025-11-28
USR00014,Bengaluru,iOS,2025-10-09
USR00015,Bengaluru,Android,2025-10-24
USR00016,Ahmedabad,Android,2026-02-25
USR00017,Bengaluru,Android,2025-11-15
USR00018,Ahmedabad,Android,2025-12-14
USR00019,Bengaluru,Android,2026-01-03
USR00020,Mumbai,Android,2026-01-15
USR00021,Delhi NCR,Android,2025-12-06
USR00022,Chennai,Android,2025-08-26
USR00023,Hyderabad,Android,2025-10-29
USR00024,Mumbai,Web,2026-03-20
USR00025,Jaipur,iOS,2025-12-06
USR00026,Bengaluru,Android,2025-10-11
USR00027,Bengaluru,Android,2025-11-22
USR00028,Delhi NCR,Android,2026-02-22
USR00029,Chennai,Android,2026-06-27
USR00030,Bengaluru,Android,2025-12-11
USR00031,Bengaluru,Android,2025-09-03
USR00032,Pune,iOS,2026-03-16
USR00033,Delhi NCR,Android,2026-01-17
USR00034,Bengaluru,Android,2026-03-25
USR00035,Mumbai,Android,2026-05-21
USR00036,Kolkata,iOS,2026-02-19
USR00037,Ahmedabad,Android,2026-07-16
USR00038,Kolkata,Android,2025-11-18
USR00039,Delhi NCR,Android,2026-03-17
USR00040,Delhi NCR,Android,2026-06-14
USR00041,Pune,Android,2026-04-13
USR00042,Kolkata,iOS,2026-04-03
USR00043,Mumbai,Android,2026-02-13
USR00044,Delhi NCR,Android,2026-06-26
USR00045,Jaipur,Android,2026-05-06
USR00046,Mumbai,Web,2026-01-31
USR00047,Ahmedabad,Android,2026-04-06
USR00048,Chennai,iOS,2026-04-15
USR00049,Chennai,Android,2025-11-01
USR00050,Mumbai,Android,2025-11-21
USR00051,Mumbai,iOS,2025-12-22
USR00052,Mumbai,iOS,2026-03-30
USR00053,Jaipur,Android,2026-05-27
USR00054,Pune,Web,2025-09-21
USR00055,Pune,Android,2025-12-15
USR00056,Jaipur,iOS,2025-08-29
USR00057,Pune,Android,2026-02-15
USR00058,Chennai,iOS,2025-10-28
USR00059,Delhi NCR,Android,2026-01-10
USR00060,Chennai,iOS,2025-08-15
USR00061,Chennai,iOS,2026-05-16
USR00062,Delhi NCR,Android,2025-11-05
USR00063,Ahmedabad,Android,2025-10-29
USR00064,Ahmedabad,Android,2025-08-29
