merchant_id,merchant_name,merchant_category,city,state,onboarding_date
MCH0001,Golden Grocery Emporium #1,Grocery,Bengaluru,Karnataka,2025-08-14
MCH0002,Urban Restaurants Zone #2,Restaurants,Jaipur,Rajasthan,2025-08-28
MCH0003,Star Grocery Traders #3,Grocery,Pune,Maharashtra,2025-10-09
MCH0004,Prime Fashion Corner #4,Fashion,Kolkata,West Bengal,2025-08-21
MCH0005,City Bill Payment Mart #5,Bill Payment,Kolkata,West Bengal,2025-08-14
MCH0006,New Fuel Hub #6,Fuel,Bengaluru,Karnataka,2025-09-03
MCH0007,Star Retail Enterprises #7,Retail,Mumbai,Maharashtra,2026-07-12
MCH0008,Vibrant Pharmacy Bazaar #8,Pharmacy,Bengaluru,Karnataka,2025-10-13
MCH0009,Sri Restaurants Bazaar #9,Restaurants,Pune,Maharashtra,2025-08-11
MCH0010,Metro Restaurants Emporium #10,Restaurants,Pune,Maharashtra,2025-08-21
MCH0011,Apex Bill Payment Bazaar #11,Bill Payment,Chennai,Tamil Nadu,2025-10-22
MCH0012,Star Electronics World #12,Electronics,Bengaluru,Karnataka,2025-09-18
MCH0013,Super Fashion Hub #13,Fashion,Hyderabad,Telangana,2025-08-30
MCH0014,Metro Bill Payment Emporium #14,Bill Payment,Mumbai,Maharashtra,2025-09-10
MCH0015,Metro Retail Bazaar #15,Retail,Pune,Maharashtra,2025-08-18
MCH0016,Golden Pharmacy Corner #16,Pharmacy,Pune,Maharashtra,2025-09-21
MCH0017,Royal Fashion Outlet #17,Fashion,Chennai,Tamil Nadu,2025-08-15
MCH0018,Express Electronics Bazaar #18,Electronics,Delhi NCR,Delhi,2025-09-19
MCH0019,Star Retail Emporium #19,Retail,Kolkata,West Bengal,2026-08-05
MCH0020,Express Pharmacy Bazaar #20,Pharmacy,Bengaluru,Karnataka,2025-09-25
MCH0021,Sri Retail World #21,Retail,Delhi NCR,Delhi,2025-10-04
MCH0022,Vibrant Restaurants Bazaar #22,Restaurants,Delhi NCR,Delhi,2025-10-04
MCH0023,Global Electronics Mart #23,Electronics,Pune,Maharashtra,2025-08-01
MCH0024,Sri Retail Enterprises #24,Retail,Chennai,Tamil Nadu,2025-08-31
MCH0025,Urban Fashion Enterprises #25,Fashion,Mumbai,Maharashtra,2025-08-09
MCH0026,Royal Electronics Bazaar #26,Electronics,Jaipur,Rajasthan,2025-08-22
MCH0027,Apex Fuel Outlet #27,Fuel,Hyderabad,Telangana,2025-08-26
MCH0028,Super Fuel Bazaar #28,Fuel,Hyderabad,Telangana,2025-09-27
MCH0029,Apex Fashion Enterprises #29,Fashion,Bengaluru,Karnataka,2025-10-10
MCH0030,Sri Fashion Enterprises #30,Fashion,Pune,Maharashtra,2025-08-30
MCH0031,Vibrant Grocery Hub #31,Grocery,Bengaluru,Karnataka,2025-09-05
MCH0032,Star Fashion Mart #32,Fashion,Ahmedabad,Gujarat,2025-10-13
